Animal,Date,Weeks Post Infection,Weeks Post Transplant,WBC (Thou/ul),RBC (mil/ul),HGB    (G/dl),HCT        (%),MCV        (fl),MCH       (pg),MCHC (g/dL),PLT (Thou/ul),RDW (%),MPV (fl),Neut (%),Lymph (%),Mono (%),Eos (%),Baso (%),Neut (Thou/ul),Lymph (Thou/ul),Mono (Thou/ul),Eos (Thou/ul),Baso (Thou/ul),CD2+      (%),CD4+ / CD8- (%),CD8+ / CD4- (%),CD4+ / CD8+ (%),CD20+    (%),CD3+      (%),CD4+ / CD3+ (%),CD8+ / CD3+ (%),CD8+ / CD3- (%),CD4+ / CCR5-        (%),CD4+ / CCR5+     (%),CD4- / CCR5+     (%),Total CCR5+     (%),CD2+ (Cells/ul),CD4+ / CD8- (Cells/ul),CD8+ / CD4- (Cells/ul),CD4+ / CD8+ (Cells/ul),CD20+ (Cells/ul),CD3+ (Cells/ul),CD4+ / CD3+ (Cells/ul),CD8+ / CD3+ (Cells/ul),CD8+ / CD3- (Cells/ul),CD4+ / CCR5-        (Cells/ul),CD4+ / CCR5+     (Cells/ul),CD4- / CCR5+      (Cells/ul),Total CCR5+       (Cells/ul)
Z09144,04/16/12,-3.57,-58.44,7.0,5.10,10.3,31.5,62,20.2,32.6,641,13.2,7.6,64.4,29.8,4.4,0.6,0.8,4.5,2.1,0.3,0.0,0.1,80.5,33.8,43.8,0.8,17.6,59.3,34.5,21.7,22.8,-,-,-,-,1679,705,914,17,367,1237,720,453,476,-,-,-,-
Z09144,04/20/12,-3.00,-57.87,5.6,4.92,10.1,31.9,65,20.6,31.8,565,12.3,7.8,56.5,35.3,6.8,0.9,0.5,3.2,2.0,0.4,0.1,0.0,84.0,34.3,46.4,0.8,14.1,53.6,35.0,16.6,30.6,-,-,-,-,1661,678,917,16,279,1060,692,328,605,-,-,-,-
Z09144,04/27/12,-2.01,-56.88,4.8,5.17,10.8,33.8,65,20.8,31.8,587,12.7,7.4,52.8,38.4,7.0,1.3,0.5,2.5,1.8,0.3,0.1,0.0,88.8,37.7,47.6,1.1,10.6,56.9,38.8,17.0,31.6,-,-,-,-,1637,695,877,20,195,1049,715,313,582,-,-,-,-
Z09144,05/04/12,-0.98,-55.86,6.1,5.30,10.9,33.9,64,20.5,32.0,601,11.9,7.7,59.4,33.5,5.8,0.9,0.4,3.6,2.0,0.4,0.1,0.0,79.6,41.0,35.7,1.0,16.7,62.4,42.0,18.1,18.6,-,-,-,-,1627,838,730,20,341,1275,858,370,380,-,-,-,-
Z09144,05/11/12,0.00,-54.88,5.4,5.36,11.0,34.2,64,20.6,32.3,584,11.9,7.7,54.0,37.3,7.1,1.1,0.5,2.9,2.0,0.4,0.1,0.0,82.2,52.3,26.7,0.8,16.7,75.8,52.9,20.0,7.4,-,-,-,-,1656,1053,538,16,336,1527,1066,403,149,-,-,-,-
Z09144,05/15/12,0.57,-54.30,5.3,5.28,10.8,33.7,64,20.4,31.9,579,11.7,7.8,60.3,32.7,6.0,0.6,0.4,3.2,1.7,0.3,0.0,0.0,81.3,52.0,24.8,0.7,17.6,73.4,52.6,17.5,7.9,-,-,-,-,1409,901,430,12,305,1272,912,303,137,-,-,-,-
Z09144,05/18/12,0.99,-53.88,4.1,5.01,10.2,32.0,64,20.4,32.0,229,12.4,8.6,66.9,24.9,7.2,0.7,0.3,2.7,1.0,0.3,0.0,0.0,76.5,51.3,22.8,1.6,15.0,72.7,52.7,19.2,5.2,-,-,-,-,781,524,233,16,153,742,538,196,53,-,-,-,-
Z09144,05/25/12,2.00,-52.88,6.4,4.73,9.7,29.8,63,20.5,32.6,213,12.0,9.2,61.6,18.1,18.6,0.8,0.9,3.9,1.2,1.2,0.1,0.1,90.2,44.4,38.9,0.3,8.5,72.6,44.6,23.2,16.3,-,-,-,-,1045,514,451,3,98,841,517,269,189,-,-,-,-
Z09144,06/01/12,3.00,-51.87,8.3,4.60,9.5,29.5,64,20.6,32.3,663,13.1,8.1,68.8,22.2,7.3,0.9,0.8,5.7,1.8,0.6,0.1,0.1,82.6,29.9,49.6,0.7,12.5,56.1,30.5,20.6,29.7,-,-,-,-,1522,551,914,13,230,1034,562,380,547,-,-,-,-
Z09144,06/08/12,3.99,-50.89,9.1,4.82,9.6,29.7,62,19.9,32.2,259,12.6,9.0,55.4,30.6,11.0,2.3,0.7,5.0,2.8,1.0,0.2,0.1,83.9,48.3,33.5,0.9,14.8,80.7,49.0,29.9,4.6,-,-,-,-,2336,1345,933,25,412,2247,1364,833,128,-,-,-,-
