Animal,Date,Weeks Post Infection,Weeks Post Transplant,WBC (Thou/ul),RBC (mil/ul),HGB    (G/dl),HCT        (%),MCV        (fl),MCH       (pg),MCHC (g/dL),PLT (Thou/ul),RDW (%),MPV (fl),Neut (%),Lymph (%),Mono (%),Eos (%),Baso (%),Neut (Thou/ul),Lymph (Thou/ul),Mono (Thou/ul),Eos (Thou/ul),Baso (Thou/ul),CD2+      (%),CD4+ / CD8- (%),CD8+ / CD4- (%),CD4+ / CD8+ (%),CD20+    (%),CD3+      (%),CD4+ / CD3+ (%),CD8+ / CD3+ (%),CD8+ / CD3- (%),CD4+ / CCR5-        (%),CD4+ / CCR5+     (%),CD4- / CCR5+     (%),Total CCR5+     (%),CD2+ (Cells/ul),CD4+ / CD8- (Cells/ul),CD8+ / CD4- (Cells/ul),CD4+ / CD8+ (Cells/ul),CD20+ (Cells/ul),CD3+ (Cells/ul),CD4+ / CD3+ (Cells/ul),CD8+ / CD3+ (Cells/ul),CD8+ / CD3- (Cells/ul),CD4+ / CCR5-        (Cells/ul),CD4+ / CCR5+     (Cells/ul),CD4- / CCR5+      (Cells/ul),Total CCR5+       (Cells/ul)
Z09125,11/02/12,-6.00,-62.77,7.6,5.29,10.2,32.1,61,19.3,31.8,295,11.4,7.0,61.8,25.6,10.3,1.8,0.5,4.7,1.9,0.8,0.1,0.0,66.3,33.0,34.2,0.8,32.2,57.3,33.8,22.3,12.7,-,-,-,-,1290,642,665,16,626,1115,658,434,247,-,-,-,-
Z09125,11/09/12,-4.98,-61.75,4.8,5.37,10.4,32.4,60,19.3,32.0,467,11.8,6.5,58.0,30.5,7.0,4.0,0.5,2.8,1.5,0.3,0.2,0.0,68.9,30.2,31.5,1.6,27.9,55.7,31.8,23.0,10.1,-,-,-,-,1009,442,461,23,408,815,466,337,148,-,-,-,-
Z09125,11/15/12,-4.14,-60.90,4.4,5.56,10.5,33.6,61,18.9,31.2,376,11.6,6.7,39.9,47.9,7.7,3.8,0.7,1.8,2.1,0.3,0.2,0.0,71.4,30.2,36.5,1.7,28.4,60.6,31.9,27.1,9.6,-,-,-,-,1505,636,769,36,599,1277,672,571,202,-,-,-,-
Z09125,11/30/12,-2.00,-58.77,7.2,6.09,11.8,37.2,61,19.3,31.6,385,12.1,7.0,50.6,40.3,7.1,1.5,0.5,3.6,2.9,0.5,0.1,0.0,78.1,30.3,45.5,1.8,19.6,63.4,32.0,31.0,16.3,-,-,-,-,2266,879,1320,52,569,1840,929,899,473,-,-,-,-
Z09125,12/07/12,-0.99,-57.76,5.6,6.17,11.7,37.3,61,19.0,31.4,310,12.7,7.2,38.5,49.9,7.3,3.3,1.0,2.2,2.8,0.4,0.2,0.1,75.5,30.9,40.0,1.5,24.2,65.0,32.5,31.4,10.1,-,-,-,-,2110,863,1118,42,676,1816,908,877,282,-,-,-,-
Z09125,12/14/12,0.00,-56.77,6.6,5.99,11.4,35.4,59,19.0,32.1,352,12.7,7.0,50.1,40.0,6.2,3.1,0.6,3.3,2.6,0.4,0.2,0.0,79.7,33.5,38.3,1.1,20.0,65.2,34.7,29.1,12.0,-,-,-,-,2104,884,1011,29,528,1721,916,768,317,-,-,-,-
Z09125,12/18/12,0.58,-56.19,6.3,5.76,11.0,34.2,59,19.1,32.2,325,12.8,7.0,42.2,45.7,8.5,3.1,0.5,2.7,2.9,0.5,0.2,0.0,74.9,32.8,38.7,1.3,24.9,67.6,34.0,31.9,8.0,-,-,-,-,2156,944,1114,37,717,1946,979,918,230,-,-,-,-
Z09125,12/21/12,1.01,-55.76,3.0,5.73,10.9,33.7,59,18.9,32.2,167,13.0,7.3,47.3,35.0,15.1,2.2,0.4,1.4,1.1,0.5,0.1,0.0,84.7,37.6,38.1,1.3,15.2,74.2,38.8,33.5,6.3,-,-,-,-,889,395,400,14,160,779,407,352,66,-,-,-,-
Z09125,12/28/12,2.00,-54.77,3.7,5.74,10.8,33.3,58,18.9,32.5,285,12.7,7.4,37.6,41.8,17.3,1.6,1.7,1.4,1.5,0.6,0.1,0.1,85.3,35.2,44.3,1.5,14.3,73.9,36.6,35.6,9.4,-,-,-,-,1319,544,685,23,221,1143,566,551,145,-,-,-,-
Z09125,01/04/13,3.01,-53.76,5.1,5.81,10.8,34.4,59,18.7,31.5,461,13.1,7.0,39.4,47.6,9.6,2.4,1.0,2.0,2.4,0.5,0.1,0.1,74.3,27.3,43.1,1.3,22.2,62.7,28.5,32.8,11.6,-,-,-,-,1804,663,1046,32,539,1522,692,796,282,-,-,-,-
Z09125,01/10/13,3.86,-52.90,6.2,5.58,10.6,32.8,59,19.0,32.3,429,12.9,6.7,60.3,28.3,8.4,2.2,0.8,3.7,1.8,0.5,0.1,0.0,70.8,30.8,41.1,1.2,25.9,64.3,32.0,30.2,12.1,-,-,-,-,1242,540,721,21,454,1128,561,530,212,-,-,-,-
Z09125,01/18/13,4.99,-51.77,5.7,5.99,11.2,35.5,59,18.7,31.5,411,11.9,6.9,61.2,28.9,5.2,4.2,0.5,3.5,1.6,0.3,0.2,0.0,78.4,35.4,37.8,0.8,21.0,66.5,36.3,28.5,9.1,-,-,-,-,1291,583,623,13,346,1095,598,469,150,-,-,-,-
Z09125,01/25/13,6.00,-50.77,2.6,5.64,10.7,33.3,59,19.0,32.2,397,11.8,6.9,43.6,47.2,6.3,2.3,0.6,1.1,1.2,0.2,0.1,0.0,69.3,34.1,34.1,1.0,30.4,64.6,35.1,28.6,7.0,-,-,-,-,850,418,418,12,373,793,431,351,86,-,-,-,-
