Animal,Date,Weeks Post Infection,Weeks Post Transplant,WBC (Thou/ul),RBC (mil/ul),HGB    (G/dl),HCT        (%),MCV        (fl),MCH       (pg),MCHC (g/dL),PLT (Thou/ul),RDW (%),MPV (fl),Neut (%),Lymph (%),Mono (%),Eos (%),Baso (%),Neut (Thou/ul),Lymph (Thou/ul),Mono (Thou/ul),Eos (Thou/ul),Baso (Thou/ul),CD2+      (%),CD4+ / CD8- (%),CD8+ / CD4- (%),CD4+ / CD8+ (%),CD20+    (%),CD3+      (%),CD4+ / CD3+ (%),CD8+ / CD3+ (%),CD8+ / CD3- (%),CD4+ / CCR5-        (%),CD4+ / CCR5+     (%),CD4- / CCR5+     (%),Total CCR5+     (%),CD2+ (Cells/ul),CD4+ / CD8- (Cells/ul),CD8+ / CD4- (Cells/ul),CD4+ / CD8+ (Cells/ul),CD20+ (Cells/ul),CD3+ (Cells/ul),CD4+ / CD3+ (Cells/ul),CD8+ / CD3+ (Cells/ul),CD8+ / CD3- (Cells/ul),CD4+ / CCR5-        (Cells/ul),CD4+ / CCR5+     (Cells/ul),CD4- / CCR5+      (Cells/ul),Total CCR5+       (Cells/ul)
Z08214,11/02/12,-6.00,-61.86,11.9,5.70,10.6,34.9,61,18.7,30.0,909,13.0,6.4,68.6,23.8,6.2,1.0,0.4,8.2,2.8,0.7,0.1,0.0,85.7,33.1,48.6,2.2,12.2,53.2,35.2,16.8,34.0,-,-,-,-,2427,937,1376,62,346,1507,997,476,963,-,-,-,-
Z08214,11/09/12,-4.98,-60.84,6.5,5.90,10.9,35.3,60,18.4,30.8,753,12.4,6.4,44.0,42.0,11.2,2.3,0.5,2.9,2.7,0.7,0.1,0.0,86.3,38.4,41.3,2.1,13.0,60.6,40.5,19.3,24.1,-,-,-,-,2356,1048,1127,57,355,1654,1106,527,658,-,-,-,-
Z08214,11/15/12,-4.14,-60.00,8.3,6.28,11.3,37.5,60,17.9,30.0,772,12.6,6.5,47.5,44.7,5.9,1.3,0.6,3.9,3.7,0.5,0.1,0.0,86.3,37.9,42.4,1.7,13.7,61.2,39.6,19.7,24.7,-,-,-,-,3202,1406,1573,63,508,2271,1469,731,916,-,-,-,-
Z08214,11/30/12,-2.00,-57.87,8.6,6.71,12.2,40.7,61,18.2,30.1,661,13.3,6.8,45.7,48.1,4.3,1.3,0.6,3.9,4.1,0.4,0.1,0.1,84.2,36.0,45.9,1.8,15.0,60.0,37.8,20.9,26.9,-,-,-,-,3483,1489,1899,74,620,2482,1564,865,1113,-,-,-,-
Z08214,12/07/12,-0.99,-56.86,8.1,6.81,12.3,41.1,60,18.1,30.0,679,12.7,7.0,41.2,52.0,4.1,2.0,0.7,3.3,4.2,0.3,0.2,0.1,84.5,39.7,39.5,1.7,15.4,63.6,41.4,20.7,20.6,-,-,-,-,3559,1672,1664,72,649,2679,1744,872,868,-,-,-,-
Z08214,12/14/12,0.00,-55.86,7.9,6.53,12.0,38.3,59,18.4,31.3,629,13.7,6.9,39.9,52.4,5.5,1.7,0.5,3.2,4.1,0.4,0.1,0.0,86.3,40.0,40.3,1.1,13.6,64.5,40.8,21.0,21.3,-,-,-,-,3572,1656,1668,46,563,2670,1689,869,882,-,-,-,-
Z08214,12/18/12,0.58,-55.29,10.5,6.58,12.1,38.8,59,18.4,31.2,610,13.5,7.0,37.5,51.5,8.3,2.0,0.7,3.9,5.4,0.9,0.2,0.1,86.2,40.2,39.7,1.4,14.0,67.0,41.4,23.0,18.0,-,-,-,-,4661,2174,2147,76,757,3623,2239,1244,973,-,-,-,-
Z08214,12/21/12,1.01,-54.86,5.2,6.36,11.6,37.2,58,18.3,31.3,552,14.4,6.9,39.0,44.0,14.9,1.4,0.7,2.0,2.3,0.8,0.1,0.0,91.0,47.9,35.0,1.6,9.0,72.4,49.5,19.5,17.5,-,-,-,-,2082,1096,801,37,206,1657,1133,446,400,-,-,-,-
Z08214,12/28/12,2.00,-53.87,8.5,6.25,11.4,36.3,58,18.2,31.3,436,13.6,8.2,61.0,29.0,8.0,0.0,1.0,5.2,2.5,0.7,0.0,0.1,92.4,31.5,56.4,1.2,7.5,61.3,32.7,26.5,30.7,-,-,-,-,2278,776,1390,30,185,1511,806,653,757,-,-,-,-
Z08214,01/04/13,3.01,-52.85,5.9,6.26,11.5,37.5,60,18.4,30.8,845,14.1,7.0,31.5,53.0,11.6,3.0,0.9,1.9,3.1,0.7,0.2,0.1,90.6,35.7,49.6,1.6,7.5,68.0,37.3,28.0,23.2,-,-,-,-,2833,1116,1551,50,235,2126,1166,876,725,-,-,-,-
