Animal,Date,Weeks Post Infection,"Weeks Post ""Transplant""",WBC (Thou/ul),RBC (mil/ul),HGB    (G/dl),HCT        (%),MCV        (fl),MCH       (pg),MCHC (g/dL),PLT (Thou/ul),RDW (%),MPV (fl),Neut (%),Lymph (%),Mono (%),Eos (%),Baso (%),Neut (Thou/ul),Lymph (Thou/ul),Mono (Thou/ul),Eos (Thou/ul),Baso (Thou/ul),CD2+      (%),CD4+ / CD8- (%),CD8+ / CD4- (%),CD4+ / CD8+ (%),CD20+    (%),CD3+      (%),CD4+ / CD3+ (%),CD8+ / CD3+ (%),CD8+ / CD3- (%),CD4+ / CCR5-        (%),CD4+ / CCR5+     (%),CD4- / CCR5+     (%),Total CCR5+     (%),CD2+ (Cells/ul),CD4+ / CD8- (Cells/ul),CD8+ / CD4- (Cells/ul),CD4+ / CD8+ (Cells/ul),CD20+ (Cells/ul),CD3+ (Cells/ul),CD4+ / CD3+ (Cells/ul),CD8+ / CD3+ (Cells/ul),CD8+ / CD3- (Cells/ul),CD4+ / CCR5-        (Cells/ul),CD4+ / CCR5+     (Cells/ul),CD4- / CCR5+      (Cells/ul),Total CCR5+       (Cells/ul)
Z09204,03/07/13,-5.16,-62.00,8.3,6.00,10.6,35.2,59,17.6,30.0,668,13.4,7.4,38.9,42.9,5.4,12.3,0.5,3.2,3.6,0.4,1.0,0.0,75.0,37.6,41.9,1.2,21.9,66.5,38.8,24.8,18.3,-,-,-,-,2671,1339,1492,43,780,2368,1382,883,652,-,-,-,-
Z09204,03/15/13,-4.03,-60.87,8.2,6.19,10.8,35.8,58,17.4,30.2,662,13.7,7.9,34.1,56.6,6.1,2.5,0.7,2.8,4.6,0.5,0.2,0.1,83.5,39.7,42.6,1.2,16.0,72.5,41.1,28.3,15.5,-,-,-,-,3875,1843,1977,56,743,3365,1908,1313,719,-,-,-,-
Z09204,03/22/13,-3.03,-59.87,11.7,6.51,11.3,37.6,58,17.3,29.9,505,14.0,8.3,39.8,52.2,4.8,2.3,0.9,4.7,6.1,0.6,0.3,0.1,85.5,39.6,45.5,1.6,14.4,80.0,41.5,35.8,11.3,-,-,-,-,5222,2419,2779,98,879,4886,2535,2186,690,-,-,-,-
Z09204,03/29/13,-2.02,-58.86,8.0,6.57,11.4,37.9,58,17.3,30.0,569,14.2,8.3,39.0,49.9,3.4,7.1,0.6,3.1,4.0,0.3,0.6,0.0,81.2,44.3,36.5,1.3,18.2,72.6,45.7,24.0,13.8,-,-,-,-,3242,1768,1457,52,727,2898,1824,958,551,-,-,-,-
Z09204,04/05/13,-1.01,-57.85,11.5,6.58,11.6,38.4,58,17.6,30.1,253,14.2,8.7,33.1,46.7,5.4,14.1,0.7,3.8,5.4,0.6,1.6,0.1,81.6,43.2,40.1,1.4,16.3,73.6,44.6,25.9,15.7,-,-,-,-,4382,2320,2154,75,875,3953,2395,1391,843,-,-,-,-
Z09204,04/12/13,0.00,-56.84,10.6,6.65,11.8,38.6,58,17.7,30.5,587,14.6,8.3,33.5,53.7,6.8,5.3,0.7,3.6,5.7,0.7,0.6,0.1,80.1,39.1,44.2,1.6,17.3,73.4,40.8,30.1,51.7,-,-,-,-,4559,2226,2516,91,985,4178,2322,1713,2943,-,-,-,-
Z09204,04/16/13,0.53,-56.31,9.9,6.76,11.7,38.8,57,17.4,30.3,579,13.8,8.7,40.4,47.4,7.9,2.8,1.1,4.0,4.7,0.8,0.3,0.1,85.5,39.5,43.4,1.5,17.2,74.0,41.3,30.1,14.8,-,-,-,-,4012,1854,2037,70,807,3473,1938,1412,695,-,-,-,-
Z09204,04/19/13,0.99,-55.85,7.2,6.32,11.1,36.1,57,17.6,30.8,526,14.5,8.3,50.0,37.0,11.2,1.0,0.8,3.6,2.7,0.8,0.1,0.1,86.5,43.2,38.4,2.0,9.5,77.5,45.1,27.7,12.6,-,-,-,-,2304,1151,1023,53,253,2065,1201,738,336,-,-,-,-
Z09204,04/26/13,1.98,-54.86,6.9,6.42,11.3,36.6,57,17.6,30.9,354,13.9,8.3,30.4,49.4,16.7,2.1,1.4,2.1,3.4,1.2,0.1,0.1,81.7,37.0,44.9,1.1,18.0,73.1,38.3,31.6,14.4,-,-,-,-,2785,1261,1530,37,614,2492,1305,1077,491,-,-,-,-
Z09204,05/02/13,2.84,-54.00,16.0,6.39,11.2,36.2,57,17.5,30.9,513,14.3,7.8,66.4,25.2,6.5,0.9,1.0,10.6,4.0,1.0,0.1,0.2,75.9,35.4,40.5,0.9,20.9,66.7,36.2,25.9,15.5,-,-,-,-,3060,1427,1633,36,843,2689,1460,1044,625,-,-,-,-
