Animal,Date,Weeks Post Infection,"Weeks Post ""Transplant""",WBC (Thou/ul),RBC (mil/ul),HGB    (G/dl),HCT        (%),MCV        (fl),MCH       (pg),MCHC (g/dL),PLT (Thou/ul),RDW (%),MPV (fl),Neut (%),Lymph (%),Mono (%),Eos (%),Baso (%),Neut (Thou/ul),Lymph (Thou/ul),Mono (Thou/ul),Eos (Thou/ul),Baso (Thou/ul),CD2+      (%),CD4+ / CD8- (%),CD8+ / CD4- (%),CD4+ / CD8+ (%),CD20+    (%),CD3+      (%),CD4+ / CD3+ (%),CD8+ / CD3+ (%),CD8+ / CD3- (%),CD4+ / CCR5-        (%),CD4+ / CCR5+     (%),CD4- / CCR5+     (%),Total CCR5+     (%),CD2+ (Cells/ul),CD4+ / CD8- (Cells/ul),CD8+ / CD4- (Cells/ul),CD4+ / CD8+ (Cells/ul),CD20+ (Cells/ul),CD3+ (Cells/ul),CD4+ / CD3+ (Cells/ul),CD8+ / CD3+ (Cells/ul),CD8+ / CD3- (Cells/ul),CD4+ / CCR5-        (Cells/ul),CD4+ / CCR5+     (Cells/ul),CD4- / CCR5+      (Cells/ul),Total CCR5+       (Cells/ul)
Z09087,04/16/12,-3.57,-58.44,7.8,4.51,9.5,29.5,65,21.1,32.3,622,12.7,7.7,67.5,25.9,5.4,0.7,0.5,5.3,2.0,0.4,0.1,0.0,80.0,31.4,43.3,1.1,17.7,49.0,32.4,14.0,30.3,-,-,-,-,1616,634,875,22,358,990,655,283,612,-,-,-,-
Z09087,04/20/12,-3.00,-57.87,6.6,5.51,11.0,33.8,61,20.0,32.5,593,12.6,7.6,61.2,33.3,4.1,0.8,0.6,4.0,2.2,0.3,0.1,0.0,82.6,32.7,43.8,0.7,16.2,61.2,33.4,23.9,20.6,-,-,-,-,1815,719,963,15,356,1345,734,525,453,-,-,-,-
Z09087,04/27/12,-2.01,-56.88,4.1,5.56,10.9,34.5,62,19.5,31.5,484,12.2,7.6,51.5,41.7,4.9,1.1,0.8,2.1,1.7,0.2,0.0,0.0,80.8,38.2,39.4,0.5,18.5,67.9,38.5,26.5,13.6,-,-,-,-,1381,653,674,9,316,1161,658,453,233,-,-,-,-
Z09087,05/04/12,-0.98,-55.86,6.6,5.61,11.2,34.0,61,20.0,33.0,533,11.7,8.1,51.2,43.3,4.3,0.7,0.5,3.4,2.9,0.3,0.0,0.0,80.0,36.3,40.1,0.7,18.4,68.4,36.9,27.4,13.4,-,-,-,-,2286,1037,1146,20,526,1955,1055,783,383,-,-,-,-
Z09087,05/11/12,0.00,-54.88,7.2,5.67,11.0,34.2,60,19.4,32.2,538,11.9,8.1,58.8,33.3,6.2,0.8,0.9,4.2,2.4,0.4,0.1,0.1,72.5,41.0,26.4,0.4,26.4,68.5,41.4,23.0,3.8,-,-,-,-,1738,983,633,10,633,1642,993,551,91,-,-,-,-
Z09087,05/15/12,0.57,-54.30,5.4,5.82,11.4,35.3,61,19.6,32.3,479,11.1,8.1,40.0,49.4,9.1,0.9,0.6,2.2,2.7,0.5,0.0,0.0,81.5,48.5,29.1,0.6,18.1,79.7,48.9,26.5,3.1,-,-,-,-,2174,1294,776,16,483,2126,1304,707,83,-,-,-,-
Z09087,05/18/12,0.99,-53.88,3.3,5.52,10.7,33.3,60,19.3,32.0,455,11.4,7.8,44.3,43.0,10.9,1.0,0.8,1.5,1.4,0.4,0.0,0.0,82.1,52.4,25.1,1.2,15.9,81.4,53.5,24.6,1.7,-,-,-,-,1165,744,356,17,226,1155,759,349,24,-,-,-,-
Z09087,05/25/12,2.00,-52.88,5.7,5.73,11.2,34.6,60,19.5,32.3,356,11.3,8.8,54.0,29.0,15.3,0.8,0.9,3.1,1.7,0.9,0.0,0.1,89.7,35.8,48.3,0.4,9.4,82.0,36.0,40.0,8.9,-,-,-,-,1483,592,798,7,155,1355,595,661,147,-,-,-,-
Z09087,06/01/12,3.00,-51.87,6.6,5.75,11.3,35.1,61,19.7,32.3,595,12.3,8.1,38.8,46.4,12.2,0.7,1.9,2.6,3.1,0.8,0.0,0.1,86.5,29.5,51.9,0.6,10.4,72.4,29.9,36.7,15.8,-,-,-,-,2649,903,1589,18,318,2217,916,1124,484,-,-,-,-
Z09087,06/01/12,3.00,-51.87,6.6,5.75,11.3,35.1,61,19.7,32.3,595,12.3,9.9,38.8,46.4,12.2,0.7,1.9,2.6,3.1,0.8,0.0,0.1,86.5,29.5,51.9,0.6,10.4,72.4,29.9,36.7,15.8,-,-,-,-,2649,903,1589,18,318,2217,916,1124,484,-,-,-,-
