Animal,Date,Weeks Post Infection,"Weeks Post ""Transplant""",WBC (Thou/ul),RBC (mil/ul),HGB    (G/dl),HCT        (%),MCV        (fl),MCH       (pg),MCHC (g/dL),PLT (Thou/ul),RDW (%),MPV (fl),Neut (%),Lymph (%),Mono (%),Eos (%),Baso (%),Neut (Thou/ul),Lymph (Thou/ul),Mono (Thou/ul),Eos (Thou/ul),Baso (Thou/ul),CD2+      (%),CD4+ / CD8- (%),CD8+ / CD4- (%),CD4+ / CD8+ (%),CD20+    (%),CD3+      (%),CD4+ / CD3+ (%),CD8+ / CD3+ (%),CD8+ / CD3- (%),CD4+ / CCR5-        (%),CD4+ / CCR5+     (%),CD4- / CCR5+     (%),Total CCR5+     (%),CD2+ (Cells/ul),CD4+ / CD8- (Cells/ul),CD8+ / CD4- (Cells/ul),CD4+ / CD8+ (Cells/ul),CD20+ (Cells/ul),CD3+ (Cells/ul),CD4+ / CD3+ (Cells/ul),CD8+ / CD3+ (Cells/ul),CD8+ / CD3- (Cells/ul),CD4+ / CCR5-        (Cells/ul),CD4+ / CCR5+     (Cells/ul),CD4- / CCR5+      (Cells/ul),Total CCR5+       (Cells/ul)
Z09192,11/01/12,-6.14,5887.80,5.1,5.98,11.6,37.5,63,19.4,31.0,416,14.4,8.1,21.8,71.2,4.6,1.7,0.7,1.1,3.6,0.2,0.1,0.0,77.6,32.3,41.7,2.0,21.2,73.0,34.1,36.7,7.0,-,-,-,-,2818,1173,1514,73,770,2651,1238,1333,254,-,-,-,-
Z09192,11/09/12,-4.98,5888.97,6.0,5.68,11.1,35.3,62,19.5,31.3,450,14.6,7.7,31.0,63.6,3.9,0.9,0.6,1.9,3.8,0.2,0.1,0.0,84.3,38.0,41.5,1.4,13.6,79.5,39.4,37.5,5.4,-,-,-,-,3217,1450,1584,53,519,3034,1504,1431,206,-,-,-,-
Z09192,11/16/12,-4.00,5889.95,6.7,5.69,11.1,36.0,63,19.5,30.9,495,14.8,7.7,38.9,55.3,3.8,1.2,0.8,2.6,3.7,0.3,0.1,0.1,82.1,35.9,37.7,1.5,17.9,74.7,37.3,34.7,5.5,-,-,-,-,3042,1330,1397,56,663,2768,1382,1286,204,-,-,-,-
Z09192,11/30/12,-2.00,5891.94,6.9,5.96,11.9,38.2,64,19.9,31.1,451,14.4,7.8,33.7,59.9,4.6,1.1,0.7,2.3,4.1,0.3,0.1,0.0,84.6,34.4,46.7,2.3,13.6,79.1,36.7,41.2,7.8,-,-,-,-,3497,1422,1930,95,562,3269,1517,1703,322,-,-,-,-
Z09192,12/07/12,-0.99,5892.95,5.6,5.85,11.5,37.8,65,19.6,30.4,471,14.0,8.6,15.7,77.5,4.4,1.4,1.0,0.9,4.3,0.2,0.1,0.1,82.3,33.1,43.3,2.4,17.8,77.6,35.5,40.6,5.0,-,-,-,-,3572,1437,1879,104,773,3368,1541,1762,217,-,-,-,-
Z09192,12/14/12,0.00,5893.95,5.5,5.49,11.1,34.7,63,20.1,31.9,423,14.1,8.4,24.4,69.3,4.2,1.4,0.7,1.3,3.8,0.2,0.1,0.0,87.1,36.8,41.5,1.8,12.8,80.2,38.5,39.3,5.4,-,-,-,-,3320,1403,1582,69,488,3057,1467,1498,206,-,-,-,-
Z09192,12/18/12,0.58,5894.52,7.7,5.29,10.8,33.6,63,20.3,32.0,430,13.6,8.2,30.3,63.3,4.4,1.4,0.6,2.3,4.9,0.3,0.1,0.0,82.0,35.8,41.1,1.8,17.9,78.5,37.5,38.5,4.4,-,-,-,-,3997,1745,2003,88,872,3826,1828,1877,214,-,-,-,-
Z09192,12/21/12,1.01,5894.95,6.3,5.34,10.8,33.9,64,20.3,31.9,358,13.6,8.3,42.3,43.3,12.5,1.2,0.7,2.7,2.7,0.8,0.1,0.0,89.6,39.7,41.0,2.2,10.3,85.6,41.9,41.0,2.7,-,-,-,-,2444,1083,1118,60,281,2335,1143,1118,74,-,-,-,-
Z09192,12/28/12,2.00,5895.94,5.2,5.10,10.2,32.2,63,20.0,31.8,384,12.8,9.1,26.4,60.0,10.8,1.2,1.6,1.4,3.1,0.6,0.1,0.1,87.5,25.6,53.6,1.7,12.9,82.3,27.3,49.0,5.6,-,-,-,-,2730,799,1672,53,402,2568,852,1529,175,-,-,-,-
Z09192,01/03/13,2.86,5896.80,6.9,5.14,10.3,32.7,64,20.1,31.6,453,13.4,8.3,34.9,50.1,11.4,1.7,1.9,2.4,3.5,0.8,0.1,0.1,83.2,31.8,46.5,1.7,15.3,78.8,33.3,41.7,6.5,-,-,-,-,2876,1099,1607,59,529,2724,1151,1442,225,-,-,-,-
Z09192,01/11/13,4.02,5897.96,4.7,5.27,10.4,32.8,62,19.6,31.6,635,13.7,8.2,22.6,68.9,6.6,1.0,0.9,1.1,3.2,0.3,0.0,0.0,86.1,32.8,49.2,1.4,13.4,81.0,34.2,43.9,6.8,-,-,-,-,2788,1062,1593,45,434,2623,1107,1422,220,-,-,-,-
Z09192,01/18/13,4.99,5898.94,4.9,5.57,10.8,34.9,63,19.4,30.9,473,13.0,8.7,23.6,68.4,6.6,0.8,0.6,1.2,3.4,0.3,0.0,0.0,86.7,33.3,47.9,1.8,13.4,80.6,35.1,43.9,5.0,-,-,-,-,2906,1116,1605,60,449,2701,1176,1471,168,-,-,-,-
Z09192,01/25/13,6.00,5899.94,3.7,5.54,10.9,34.6,63,19.6,31.4,426,13.0,8.1,31.1,58.2,7.1,2.7,0.9,1.2,2.2,0.3,0.1,0.0,81.3,37.5,39.2,1.2,18.7,78.1,38.8,37.2,3.6,-,-,-,-,1751,808,844,26,403,1682,836,801,78,-,-,-,-
Z09192,02/01/13,7.01,5900.96,4.4,5.78,11.1,35.8,62,19.1,30.9,412,13.1,8.3,22.5,68.4,6.5,1.9,0.7,1.0,3.0,0.3,0.1,0.0,82.2,33.6,43.2,1.3,15.5,77.3,34.9,40.2,4.4,-,-,-,-,2474,1011,1300,39,466,2326,1050,1210,132,-,-,-,-
Z09192,02/08/13,7.91,5901.86,5.7,5.70,11.0,35.4,62,19.2,31.0,455,13.6,8.3,31.7,55.3,8.2,4.2,0.6,1.8,3.2,0.5,0.2,0.0,80.8,32.9,43.4,1.3,17.5,76.8,34.2,39.9,4.8,-,-,-,-,2547,1037,1368,41,552,2421,1078,1258,151,-,-,-,-
Z09192,02/14/13,8.86,5902.80,5.9,5.49,10.6,33.8,61,19.2,31.2,496,13.7,8.3,25.7,58.6,8.2,7.0,0.5,1.5,3.5,0.5,0.4,0.0,83.6,35.4,42.1,1.2,16.3,79.6,36.6,39.8,3.5,-,-,-,-,2890,1224,1456,41,564,2752,1265,1376,121,-,-,-,-
Z09192,02/22/13,10.01,5903.96,6.8,5.50,10.7,33.8,61,19.5,31.8,485,13.9,9.1,57.7,35.3,5.0,1.0,1.0,3.9,2.4,0.3,0.1,0.1,80.7,29.3,46.9,1.1,16.2,76.7,30.4,42.2,5.8,-,-,-,-,1937,703,1126,26,389,1841,730,1013,139,-,-,-,-
Z09192,03/01/13,11.00,5904.95,5.3,5.78,11.1,35.7,62,19.2,31.1,521,13.7,8.4,20.1,69.2,5.8,4.3,0.6,1.1,3.7,0.3,0.2,0.0,84.4,31.9,47.9,2.0,14.0,80.7,33.9,44.7,5.2,-,-,-,-,3095,1170,1757,73,513,2960,1243,1639,191,-,-,-,-
Z09192,03/08/13,12.00,5905.95,5.9,5.74,11.2,35.5,62,19.5,31.5,463,14.0,9.0,47.0,45.4,4.0,3.0,0.6,2.8,2.7,0.2,0.2,0.0,83.0,33.4,43.0,1.4,17.1,77.4,34.8,39.3,5.1,-,-,-,-,2223,895,1152,38,458,2073,932,1053,137,-,-,-,-
Z09192,03/15/13,12.99,5906.94,6.7,5.96,11.5,36.7,62,19.3,31.4,481,14.0,8.7,17.2,72.2,4.5,5.2,0.7,1.2,4.8,0.3,0.3,0.0,85.4,33.0,47.2,2.1,14.6,80.6,35.3,44.1,5.2,-,-,-,-,4131,1596,2283,102,706,3899,1708,2133,252,-,-,-,-
Z09192,03/22/13,13.99,5907.94,6.2,5.52,10.8,34.0,62,19.6,31.8,446,14.8,8.7,25.4,67.6,4.7,1.8,0.5,1.6,4.2,0.3,0.1,0.0,84.3,33.3,47.0,1.8,15.7,81.8,35.1,44.9,3.9,-,-,-,-,3533,1396,1970,75,658,3428,1471,1882,163,-,-,-,-
Z09192,03/29/13,14.99,5908.94,6.3,5.87,11.4,36.4,62,19.3,31.2,440,14.7,8.7,27.7,64.0,5.4,2.3,0.6,1.7,4.0,0.3,0.1,0.0,84.7,33.4,46.8,1.9,15.2,81.1,35.2,44.2,4.4,-,-,-,-,3415,1347,1887,77,613,3270,1419,1782,177,-,-,-,-
Z09192,04/12/13,17.02,5910.96,6.0,5.92,11.6,37.1,63,19.5,31.2,427,14.4,8.8,42.9,48.7,6.2,1.6,0.6,2.6,2.9,0.4,0.1,0.0,80.8,35.6,41.6,1.7,17.9,78.7,37.2,39.4,3.9,-,-,-,-,2361,1040,1216,50,523,2300,1087,1151,114,-,-,-,-
Z09192,04/26/13,19.00,5912.94,5.7,5.98,11.7,37.1,62,19.6,31.6,449,13.9,8.4,27.4,64.8,4.4,2.5,0.9,1.6,3.7,0.3,0.1,0.1,84.2,30.3,47.5,1.7,15.8,78.0,31.8,43.7,5.5,-,-,-,-,3110,1119,1754,63,584,2881,1175,1614,203,-,-,-,-
Z09192,05/10/13,21.01,5914.96,5.2,5.74,11.3,35.8,62,19.8,31.7,450,13.9,8.7,28.7,63.3,5.3,2.2,0.5,1.5,3.3,0.3,0.1,0.0,83.5,31.2,48.6,2.1,14.2,79.7,33.3,45.0,5.7,-,-,-,-,2748,1027,1600,69,467,2623,1096,1481,188,-,-,-,-
Z09192,05/23/13,22.85,5916.80,4.4,5.77,11.5,36.0,62,19.9,31.9,391,13.5,8.6,26.3,64.8,5.5,2.4,1.0,1.2,2.9,0.2,0.1,0.0,83.6,36.2,42.5,1.3,16.1,80.4,37.6,40.2,3.6,-,-,-,-,2384,1032,1212,37,459,2292,1072,1146,103,-,-,-,-
Z09192,06/07/13,25.00,5918.94,15.1,5.89,11.7,37.1,63,19.9,31.5,495,13.9,8.2,65.4,26.0,7.1,0.9,0.6,9.9,3.9,1.1,0.1,0.1,78.1,30.1,47.0,2.3,16.0,78.3,32.3,44.5,4.7,27.7,4.7,17.1,21.8,3066,1182,1845,90,628,3074,1268,1747,185,1088,185,671,856
Z09192,06/14/13,26.01,5919.95,7.3,5.69,11.1,35.2,62,19.6,31.7,542,13.6,8.3,19.0,74.3,5.3,0.7,0.7,1.4,5.4,0.4,0.1,0.1,84.4,43.4,33.8,0.7,14.5,82.3,49.1,29.8,4.7,46.6,2.5,9.9,12.4,4578,2354,1833,38,786,4464,2663,1616,255,2528,136,537,673
Z09192,06/18/13,26.59,5920.53,5.9,5.26,10.4,32.6,62,19.7,31.8,507,13.5,8.2,27.7,64.2,6.4,1.0,0.7,1.6,3.8,0.4,0.1,0.0,79.3,30.2,46.7,1.6,19.6,75.9,31.8,42.4,5.9,27.9,2.9,13.9,16.8,3004,1144,1769,61,742,2875,1205,1606,223,1057,110,527,636
Z09192,07/05/13,29.00,5922.95,6.0,5.79,11.6,36.7,63,20.0,31.5,391,13.8,8.6,19.0,72.3,4.8,3.2,0.7,1.1,4.3,0.3,0.2,0.0,81.2,29.8,51.1,2.7,11.3,80.9,32.4,48.1,5.7,28.7,3.8,12.7,16.4,3522,1293,2217,117,490,3509,1406,2087,247,1245,165,551,711
Z09192,07/12/13,30.00,5923.95,5.7,5.85,11.8,37.2,64,20.1,31.7,444,13.5,8.7,27.2,63.7,5.7,2.8,0.6,1.6,3.6,0.3,0.2,0.0,81.9,32.5,47.2,2.1,15.2,79.1,34.4,44.0,5.4,31.5,3.1,9.4,12.5,2974,1180,1714,76,552,2872,1249,1598,196,1144,113,341,454
Z09192,07/19/13,31.00,5924.95,4.9,5.59,11.4,36.4,65,20.4,31.3,489,13.4,8.2,20.1,72.5,4.4,2.4,0.6,1.0,3.6,0.2,0.1,0.0,85.1,33.7,48.1,1.9,14.5,81.9,35.5,44.6,5.4,31.4,4.2,13.4,17.7,3023,1197,1709,67,515,2909,1261,1584,192,1115,149,476,629
Z09192,07/26/13,32.01,5925.96,4.8,5.42,11.2,35.2,65,20.6,31.7,462,13.4,8.4,25.3,63.5,6.0,4.4,0.8,1.2,3.0,0.3,0.2,0.0,85.9,38.4,43.7,1.6,14.2,83.4,40.1,41.4,3.9,35.4,4.6,11.6,16.3,2618,1170,1332,49,433,2542,1222,1262,119,1079,140,354,497
Z09192,08/02/13,33.01,5926.96,5.4,5.65,11.5,36.7,65,20.4,31.4,546,13.4,8.7,32.0,58.3,5.7,2.6,1.4,1.7,3.1,0.3,0.1,0.1,84.1,32.8,48.1,1.9,15.1,81.3,34.6,44.8,5.1,31.1,3.5,11.6,15.1,2648,1033,1514,60,475,2559,1089,1410,161,979,110,365,475
Z09192,08/09/13,34.02,5927.96,6.6,5.15,10.7,33.8,66,20.9,31.7,422,13.4,8.6,42.4,47.1,4.8,5.0,0.7,2.8,3.1,0.3,0.3,0.0,85.7,36.0,47.0,1.8,12.8,83.7,37.9,43.9,4.9,33.2,4.6,12.2,16.9,2664,1119,1461,56,398,2602,1178,1365,152,1032,143,379,525
Z09192,08/16/13,35.02,5928.96,5.7,5.42,11.2,36.0,67,20.7,31.2,526,13.9,8.3,24.2,66.5,6.0,2.6,0.7,1.4,3.8,0.3,0.1,0.0,87.4,35.8,48.4,2.3,10.0,83.4,37.9,44.3,6.3,33.3,4.8,11.5,16.3,3313,1357,1835,87,379,3161,1437,1679,239,1262,182,436,618
Z09192,08/23/13,36.01,5929.96,5.8,5.46,11.4,35.8,66,20.9,31.9,511,13.3,8.3,22.0,70.3,5.1,1.8,0.8,1.3,4.1,0.3,0.1,0.0,88.8,35.1,49.8,2.4,11.3,84.1,37.2,46.6,5.6,33.6,3.9,10.7,14.6,3621,1431,2031,98,461,3429,1517,1900,228,1370,159,436,595
Z09192,08/30/13,37.00,5930.95,5.4,5.38,11.1,35.2,65,20.6,31.5,453,13.2,8.3,19.5,70.3,5.3,2.3,2.6,1.1,3.8,0.3,0.1,0.1,89.2,35.7,48.2,2.2,10.8,84.2,37.8,45.5,4.9,33.3,4.6,12.0,16.6,3386,1355,1830,84,410,3196,1435,1727,186,1264,175,456,630
Z09192,09/06/13,38.01,5931.96,4.5,5.15,10.8,33.9,66,21.0,31.9,447,13.5,8.4,19.3,73.2,5.3,1.8,0.4,0.9,3.3,0.2,0.1,0.0,87.9,24.3,50.2,2.5,11.1,84.7,36.8,47.7,5.0,32.2,4.6,10.7,15.3,2895,800,1654,82,366,2790,1212,1571,165,1061,152,352,504
Z09192,09/13/13,39.00,5932.95,4.7,5.06,10.7,33.3,66,21.1,32.1,475,13.0,8.2,26.8,64.7,6.9,1.1,0.5,1.3,3.0,0.3,0.1,0.0,84.5,36.0,44.5,1.6,15.5,80.8,37.8,41.6,4.6,33.3,4.4,10.5,14.9,2570,1095,1353,49,471,2457,1149,1265,140,1013,134,319,453
Z09192,09/20/13,40.01,5933.95,5.0,5.22,11.1,34.8,67,21.2,31.8,488,12.9,7.9,16.0,74.4,6.9,2.1,0.6,0.8,3.7,0.3,0.1,0.0,85.0,37.5,43.5,1.8,15.1,81.9,39.4,41.4,3.9,34.7,4.6,11.5,16.1,3162,1395,1618,67,562,3047,1466,1540,145,1291,171,428,599
Z09192,09/27/13,41.00,5934.95,4.4,5.12,10.8,33.9,66,21.1,31.9,471,13.1,8.3,18.2,70.8,6.4,3.8,0.8,0.8,3.1,0.3,0.2,0.0,84.2,34.5,44.8,1.6,15.8,79.4,36.1,41.8,4.6,33.0,3.2,8.6,11.7,2623,1075,1396,50,492,2473,1125,1302,143,1028,100,268,364
Z09192,10/04/13,42.00,5935.94,5.1,5.32,11.1,35.2,66,20.8,31.5,473,12.9,7.9,13.7,76.8,5.5,3.3,0.7,0.7,3.9,0.3,0.2,0.0,86.3,35.5,45.4,1.1,13.9,82.5,36.5,42.7,2.9,32.2,4.6,11.5,16.0,3380,1390,1778,43,544,3231,1430,1672,114,1261,180,450,627
Z09192,10/10/13,42.86,5936.80,4.7,5.34,11.3,35.2,66,21.2,32.2,508,12.7,8.1,16.6,72.8,7.2,2.7,0.7,0.8,3.4,0.3,0.1,0.0,84.5,37.5,41.8,0.2,15.4,80.5,37.7,39.0,2.8,33.9,4.1,9.4,13.5,2891,1283,1430,7,527,2754,1290,1334,96,1160,140,322,462
Z09192,10/25/13,45.00,5938.95,3.4,5.38,11.3,35.7,66,21.1,31.8,522,12.9,8.3,17.6,75.0,6.0,0.7,0.7,0.6,2.6,0.2,0.0,0.0,83.9,36.8,41.5,1.1,16.0,81.3,37.9,39.0,3.2,33.1,4.8,10.4,15.2,2139,938,1058,28,408,2073,966,995,82,844,122,265,388
Z09192,11/08/13,47.00,5940.95,4.4,5.64,11.8,37.2,66,20.9,31.6,513,12.9,8.4,16.8,75.4,4.5,2.6,0.7,0.7,3.3,0.2,0.1,0.0,86.8,36.8,42.6,1.0,13.1,82.6,37.7,40.5,3.0,33.2,4.6,12.0,16.6,2880,1221,1413,33,435,2740,1251,1344,100,1101,153,398,551
Z09192,11/22/13,49.00,5942.95,5.7,5.66,11.8,37.6,66,20.8,31.4,474,13.6,8.2,17.1,72.3,6.7,3.3,0.6,1.0,4.1,0.4,0.2,0.0,84.4,36.2,42.9,0.9,15.5,81.6,37.0,40.7,3.0,32.4,4.8,12.3,17.1,3478,1492,1768,37,639,3363,1525,1677,124,1335,198,507,705
Z09192,12/12/13,51.86,5945.81,7.2,4.49,10.9,32.3,72,24.3,33.8,568,12.0,8.2,26.4,66.2,4.9,1.9,0.6,1.9,4.8,0.4,0.1,0.0,82.9,35.2,42.3,0.6,17.1,79.6,35.8,40.2,2.6,34.1,1.8,4.8,6.6,3951,1678,2016,29,815,3794,1706,1916,124,1625,86,229,315
Z09192,01/10/14,56.01,5949.95,5.4,5.88,12.5,39.2,67,21.2,31.9,422,12.5,8.6,15.5,77.0,5.9,1.1,0.5,0.8,4.2,0.3,0.1,0.0,78.6,30.8,43.8,2.0,21.1,75.0,32.9,41.0,4.6,30.7,2.3,7.4,9.6,3268,1281,1821,83,877,3119,1368,1705,191,1277,96,308,399
Z09192,01/17/14,57.02,5950.96,7.0,5.66,11.9,37.8,67,21.0,31.5,421,12.4,8.4,23.9,67.5,6.9,0.9,0.8,1.7,4.7,0.5,0.1,0.1,67.3,28.7,36.8,1.2,31.3,65.5,29.9,33.7,4.3,27.0,2.9,8.7,11.5,3180,1356,1739,57,1479,3095,1413,1592,203,1276,137,411,543
Z09192,01/24/14,58.01,5951.95,6.2,5.62,11.9,37.4,67,21.1,31.8,440,12.8,8.6,25.8,65.4,6.6,1.0,1.2,1.6,4.1,0.4,0.1,0.1,78.1,34.1,40.7,1.1,21.7,74.9,35.1,38.0,3.6,32.6,2.8,7.9,10.7,3167,1383,1650,45,880,3037,1423,1541,146,1322,114,320,434
Z09192,01/31/14,59.01,5952.96,6.5,5.53,11.9,36.9,67,21.5,32.1,469,12.9,8.6,30.0,61.4,6.4,1.5,0.7,2.0,4.0,0.4,0.1,0.0,71.9,30.5,39.2,1.3,24.8,70.2,31.6,36.6,3.9,29.3,2.5,6.3,8.8,2870,1217,1564,52,990,2802,1261,1461,156,1169,100,251,351
Z09192,02/07/14,60.01,5953.96,7.9,5.26,11.4,35.3,67,21.6,32.3,458,13.4,8.2,18.7,71.7,6.9,2.0,0.7,1.5,5.7,0.5,0.2,0.1,73.5,31.5,40.3,1.6,26.4,72.7,32.8,38.5,3.1,30.4,2.6,8.5,11.1,4163,1784,2283,91,1495,4118,1858,2181,176,1722,147,481,629
Z09192,02/14/14,61.02,5954.96,8.4,5.13,11.0,33.7,66,21.5,32.7,457,13.2,8.1,30.3,61.2,6.5,1.4,0.6,2.5,5.1,0.5,0.1,0.1,68.3,29.2,36.9,1.4,29.2,67.0,30.6,34.9,3.4,27.8,2.8,7.0,9.8,3511,1501,1897,72,1501,3444,1573,1794,175,1429,144,360,504
Z09192,02/21/14,62.00,5955.95,8.0,5.31,11.3,35.3,66,21.3,32.0,531,13.6,7.9,19.9,71.4,6.4,1.5,0.8,1.6,5.7,0.5,0.1,0.1,71.4,28.4,38.9,1.9,27.9,67.9,30.0,36.4,4.1,27.0,3.4,10.9,14.3,4078,1622,2222,109,1594,3878,1714,2079,234,1542,194,623,817
Z09192,02/28/14,63.01,5956.96,6.8,5.21,11.2,34.4,66,21.5,32.5,556,13.0,8.2,22.4,70.6,5.6,0.7,0.7,1.5,4.8,0.4,0.0,0.0,73.7,28.7,41.4,1.6,26.1,71.6,30.2,39.5,3.4,27.7,2.7,7.8,10.8,3538,1378,1988,77,1253,3437,1450,1896,163,1330,130,374,518
Z09192,03/07/14,64.01,5957.95,6.3,5.33,11.3,35.3,66,21.2,31.9,521,13.1,8.4,21.4,69.8,7.1,1.0,0.7,1.3,4.4,0.4,0.1,0.0,73.0,31.8,37.5,1.5,26.7,70.6,33.3,35.8,3.0,30.0,3.3,8.6,11.9,3210,1398,1649,66,1174,3105,1464,1574,132,1319,145,378,523
Z09192,03/20/14,65.86,5959.81,7.6,5.42,11.3,35.3,65,20.9,32.0,401,13.2,8.7,42.5,49.6,6.1,1.3,0.5,3.2,3.8,0.5,0.1,0.0,49.0,32.0,38.5,0.7,33.0,72.7,32.6,37.1,2.1,29.1,3.7,8.1,11.8,1847,1206,1451,26,1244,2740,1229,1399,79,1097,139,305,445
Z09192,03/28/14,67.00,5960.94,7.1,5.25,11.1,34.6,66,21.1,32.1,560,12.9,8.3,16.9,74.7,6.7,0.9,0.8,1.2,5.3,0.5,0.1,0.1,76.5,33.4,38.8,0.8,23.4,71.4,33.7,34.9,4.5,31.0,3.3,8.7,12.1,4057,1771,2058,42,1241,3787,1787,1851,239,1644,175,461,642
Z09192,04/04/14,68.00,5961.95,5.9,5.23,11.1,34.5,66,21.1,32.1,528,13.4,8.6,17.9,75.1,4.8,1.7,0.5,1.1,4.4,0.3,0.1,0.0,77.1,30.3,43.0,1.6,22.9,75.6,31.9,41.5,3.0,28.8,3.2,10.3,13.5,3416,1343,1905,71,1015,3350,1413,1839,133,1276,142,456,598
Z09192,04/11/14,69.00,5962.95,7.4,5.51,11.6,36.5,66,21.0,31.7,449,13.8,8.7,18.8,72.5,6.2,1.8,0.7,1.4,5.4,0.5,0.1,0.1,78.4,31.1,43.3,1.9,21.6,75.7,32.9,41.5,3.6,31.7,1.4,5.9,7.3,4206,1669,2323,102,1159,4061,1765,2226,193,1701,75,317,392
Z09192,04/18/14,70.00,5963.95,6.8,5.28,11.2,34.9,66,21.2,32.1,459,13.5,8.2,24.6,67.7,5.7,1.5,0.5,1.7,4.6,0.4,0.1,0.0,77.7,32.0,41.1,1.4,22.4,73.8,33.1,38.5,3.9,30.4,3.0,10.0,13.0,3577,1473,1892,64,1031,3397,1524,1772,180,1399,138,460,598
Z09192,04/25/14,70.99,5964.94,8.6,5.26,11.3,34.7,66,21.4,32.5,541,13.4,8.1,29.8,61.7,5.8,1.9,0.8,2.6,5.3,0.5,0.2,0.1,83.5,33.7,44.3,1.8,16.4,80.0,35.4,43.0,2.9,32.0,3.5,11.0,14.5,4431,1788,2351,96,870,4245,1878,2282,154,1698,186,584,769
Z09192,05/02/14,71.99,5965.94,7.3,5.32,11.1,35.3,66,20.9,31.6,530,13.8,8.3,18.8,73.9,5.3,1.5,0.5,1.4,5.4,0.4,0.1,0.0,77.0,30.1,40.7,1.3,21.9,72.9,31.5,38.8,3.5,28.9,2.7,9.0,11.7,4154,1624,2196,70,1181,3933,1699,2093,189,1559,146,486,631
Z09192,05/09/14,72.99,5966.94,6.3,5.32,11.3,35.1,66,21.2,32.1,508,13.6,8.2,17.7,75.1,5.6,1.0,0.6,1.1,4.7,0.4,0.1,0.0,76.5,32.1,40.6,1.3,23.2,74.4,33.4,38.7,3.5,30.4,3.1,9.5,12.7,3619,1519,1921,62,1098,3520,1580,1831,166,1438,147,449,601
Z09192,06/06/14,77.01,5970.95,5.9,5.10,11.2,35.0,69,22.0,32.0,563,13.1,7.8,31.5,61.2,5.1,1.7,0.5,1.9,3.6,0.3,0.1,0.0,75.4,32.7,41.2,1.5,21.8,75.0,34.1,39.3,3.4,29.6,4.5,10.9,15.4,2723,1181,1488,54,787,2708,1231,1419,123,1069,162,394,556
Z09192,06/13/14,77.99,5971.94,6.0,5.27,11.7,36.5,69,22.2,32.1,502,13.0,8.4,33.9,57.4,5.5,2.8,0.4,2.0,3.4,0.3,0.2,0.0,74.8,30.6,39.4,1.4,24.7,71.9,32.1,37.6,3.5,28.9,3.3,8.8,12.0,2576,1054,1357,48,851,2476,1106,1295,121,995,114,303,413
Z09192,06/20/14,79.00,5972.94,6.0,5.21,11.2,35.3,68,21.5,31.8,465,13.4,8.4,38.3,53.3,4.5,3.4,0.5,2.3,3.2,0.3,0.2,0.0,77.8,33.5,39.9,1.5,21.9,76.2,35.0,38.7,2.9,31.1,4.0,9.4,13.4,2488,1071,1276,48,700,2437,1119,1238,93,995,128,301,429
